auc,n_estimators,time_s,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma
0.9990680425605414,322,18.8,6,0.15,0.8,1.0,1,0.0
0.9990670558285415,321,18.7,6,0.2,0.8,1.0,20,0.0
0.9990494417746507,237,14.4,6,0.2,0.8,0.8,1,0.0
0.9990460320341811,393,21.2,5,0.15,0.8,1.0,5,0.0
0.9990458302692344,296,17.5,6,0.15,0.7,1.0,1,0.3
0.9990420462231815,369,20.5,5,0.15,0.8,1.0,5,0.3
0.9990377138392261,391,20.7,5,0.15,1.0,1.0,20,0.1
0.9990284550728753,391,20.9,5,0.1,0.7,1.0,1,0.3
0.9990274254806495,378,21.2,5,0.15,0.8,0.8,5,0.3
0.9990168054766765,399,20.6,5,0.1,1.0,0.8,5,0.0
0.9990150306122734,399,21.1,5,0.1,0.8,1.0,20,0.0
0.9990007128719331,400,20.5,6,0.05,0.7,1.0,1,0.3
0.9990003099874838,300,17.3,5,0.2,0.7,0.7,5,0.3
0.9989993024920291,209,12.4,5,0.2,0.7,0.8,1,0.1
0.9989934900786953,242,14.1,5,0.2,0.7,0.8,20,0.0
0.9989828858089712,400,20.7,4,0.15,0.7,0.7,20,0.3
0.9989824087217674,394,20.6,4,0.15,0.7,0.8,5,0.0
0.9989750958031313,400,19.8,6,0.05,1.0,1.0,20,0.1
0.9989581598878017,399,20.1,4,0.1,0.7,1.0,1,0.0
0.9989498304070086,400,19.9,4,0.1,0.8,1.0,20,0.3
0.9989450758123306,400,20.2,4,0.1,0.8,0.8,1,0.1
0.9989287421720927,400,20.5,5,0.05,0.7,0.8,1,0.0
0.9989120108023376,399,19.4,3,0.2,1.0,0.7,20,0.0
0.9989100615419206,400,19.4,3,0.15,0.8,1.0,5,0.3
0.9989069164734506,400,20.6,5,0.05,0.7,0.7,20,0.1
0.9988586965082565,400,19.3,3,0.15,1.0,0.7,20,0.0
0.9988363563269906,400,19.1,3,0.1,0.8,1.0,20,0.0
0.9988079187335848,400,19.3,4,0.05,0.8,0.8,20,0.1
0.9986090462006629,400,18.4,3,0.05,0.7,0.8,20,0.0
0.9985969161607341,400,17.8,3,0.05,1.0,0.8,5,0.0
