auc,n_estimators,time_s,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma
0.9980247083089158,384,15.6,6,0.2,0.8,1.0,20,0.0
0.9980225475747784,376,15.6,6,0.15,0.7,1.0,1,0.3
0.9980175455493121,399,15.8,6,0.15,0.8,1.0,1,0.0
0.9980115220632312,332,14.0,6,0.2,0.8,0.8,1,0.0
0.9979409597033804,400,15.0,5,0.15,0.8,1.0,5,0.3
0.997910937667303,399,15.3,5,0.2,0.7,0.7,5,0.3
0.997903795963985,399,15.2,5,0.2,0.7,0.8,1,0.1
0.9979034791314167,400,15.1,5,0.15,0.8,0.8,5,0.3
0.9978986384622381,400,15.0,5,0.15,0.8,1.0,5,0.0
0.9978907131670314,399,15.5,5,0.2,0.7,0.8,20,0.0
0.997879337778233,399,14.8,5,0.15,1.0,1.0,20,0.1
0.9977799080124846,400,15.0,5,0.1,0.7,1.0,1,0.3
0.9977569831702884,400,15.0,5,0.1,0.8,1.0,20,0.0
0.9977186468236499,400,15.0,5,0.1,1.0,0.8,5,0.0
0.997650433693642,400,15.2,6,0.05,0.7,1.0,1,0.3
0.9976278461775712,400,14.7,4,0.15,0.7,0.8,5,0.0
0.997588636695316,400,14.6,4,0.15,0.7,0.7,20,0.3
0.9975765009301951,400,14.7,6,0.05,1.0,1.0,20,0.1
0.997422221876716,400,14.4,4,0.1,0.7,1.0,1,0.0
0.997401186742067,400,14.3,4,0.1,0.8,1.0,20,0.3
0.997391790044518,400,14.1,4,0.1,0.8,0.8,1,0.1
0.9973202145084588,400,14.9,5,0.05,0.7,0.8,1,0.0
0.9972693189222287,400,13.7,3,0.2,1.0,0.7,20,0.0
0.99725351817854,400,15.0,5,0.05,0.7,0.7,20,0.1
0.997097184903226,400,13.9,3,0.15,0.8,1.0,5,0.3
0.9970785489978456,400,13.7,3,0.15,1.0,0.7,20,0.0
0.9967624864700475,400,13.6,3,0.1,0.8,1.0,20,0.0
0.9967469501931214,400,14.1,4,0.05,0.8,0.8,20,0.1
0.9958919402528339,400,13.3,3,0.05,0.7,0.8,20,0.0
0.9958913064687871,400,13.1,3,0.05,1.0,0.8,5,0.0
