binning,target,beam_type,group,energy_low_gev,energy_high_gev,pol1,brem,pol2,pol1_net,pol2_net,total_net,status
ajaka_cross_section,D,UV,D_UV,0.95,0.9866666666666666,42296870239.656,18396369.363,43254280520.536,42278473870.293,43235884151.173004,85514358021.466,valid
ajaka_cross_section,D,UV,D_UV,0.9866666666666666,1.0233333333333332,37453525676.5,16038067.402000003,38323132958.773,37437487609.098,38307094891.371,75744582500.469,valid
ajaka_cross_section,D,UV,D_UV,1.0233333333333332,1.06,44461617427.066986,17666989.64000001,45680220832.873985,44443950437.42699,45662553843.233986,90106504280.66098,valid
ajaka_cross_section,D,UV,D_UV,1.06,1.0966666666666667,51027052038.812,17892608.631999973,51147781008.367,51009159430.17999,51129888399.73499,102139047829.91498,valid
ajaka_cross_section,D,UV,D_UV,1.0966666666666667,1.1333333333333333,49672016031.875,16907822.390999995,50580256032.446,49655108209.484,50563348210.055,100218456419.539,valid
ajaka_cross_section,D,UV,D_UV,1.1333333333333333,1.17,54944688600.875,16832996.581999995,55761884099.648,54927855604.293,55745051103.066,110672906707.35901,valid
ajaka_cross_section,D,UV,D_UV,1.17,1.2066666666666666,60151216343.375,16532090.917999992,60724261023.117,60134684252.457,60707728932.199,120842413184.656,valid
ajaka_cross_section,D,UV,D_UV,1.2066666666666666,1.2433333333333332,63769960716.672005,16130407.14200001,64505443365.052,63753830309.53001,64489312957.91,128243143267.44,valid
ajaka_cross_section,D,UV,D_UV,1.2433333333333332,1.28,69312802281.282,15682707.979000008,70140431458.827,69297119573.303,70124748750.84799,139421868324.151,valid
ajaka_cross_section,D,UV,D_UV,1.28,1.3166666666666667,72774006312.594,14948307.445000002,73641101218.21701,72759058005.14899,73626152910.772,146385210915.921,valid
ajaka_cross_section,D,UV,D_UV,1.3166666666666667,1.3533333333333333,89743678720.002,16552736.605999993,90136296147.05399,89727125983.396,90119743410.44798,179846869393.844,valid
ajaka_cross_section,D,UV,D_UV,1.3533333333333333,1.3900000000000001,87156093884.563,14109279.553000007,88005602261.148,87141984605.01001,87991492981.595,175133477586.605,valid
ajaka_cross_section,D,UV,D_UV,1.3900000000000001,1.4266666666666667,87326998486.438,13463681.38500001,88244355710.186,87313534805.05301,88230892028.80101,175544426833.854,valid
ajaka_cross_section,D,UV,D_UV,1.4266666666666667,1.4633333333333334,78950235315.376,13533091.398999987,79275334912.156,78936702223.977,79261801820.757,158198504044.734,valid
ajaka_cross_section,D,UV,D_UV,1.4633333333333334,1.5,44781717618.98801,14041535.509999989,44911682002.66899,44767676083.478004,44897640467.15899,89665316550.637,valid
ajaka_cross_section,D,VIS,D_VIS,0.95,0.9866666666666666,56832337268.0,10508481.578999996,60040856611.0,56821828786.421,60030348129.421,116852176915.842,valid
ajaka_cross_section,D,VIS,D_VIS,0.9866666666666666,1.0233333333333332,52280037719.0,8590523.302,55062686643.0,52271447195.698,55054096119.698,107325543315.396,valid
ajaka_cross_section,D,VIS,D_VIS,1.0233333333333332,1.06,66785396402.0,9316446.512000008,69799367899.0,66776079955.488,69790051452.488,136566131407.97601,valid
ajaka_cross_section,D,VIS,D_VIS,1.06,1.0966666666666667,67380485709.0,9253462.820999997,70706963520.0,67371232246.179,70697710057.179,138068942303.358,valid
ajaka_cross_section,D,VIS,D_VIS,1.0966666666666667,1.1333333333333333,12305270034.798,8570084.094000004,12518176175.596,12296699950.704,12509606091.502,24806306042.206,valid
ajaka_cross_section,D,VIS,D_VIS,1.1333333333333333,1.17,768225624.885,8223848.746999995,791320831.742,760001776.138,783096982.995,1543098759.133,valid
ajaka_cross_section,D,VIS,D_VIS,1.17,1.2066666666666666,426585264.092,8032025.784999995,440866738.1960001,418553238.30700004,432834712.41100013,851387950.7180002,valid
ajaka_cross_section,D,VIS,D_VIS,1.2066666666666666,1.2433333333333332,322670645.693,7554669.295000003,343779730.333,315115976.398,336225061.038,651341037.436,valid
ajaka_cross_section,D,VIS,D_VIS,1.2433333333333332,1.28,318822253.79700005,7555523.580000003,332825096.90900004,311266730.21700007,325269573.32900006,636536303.5460001,valid
ajaka_cross_section,D,VIS,D_VIS,1.28,1.3166666666666667,325387103.07900006,7040790.407000005,341520399.84499997,318346312.67200005,334479609.43799996,652825922.11,valid
ajaka_cross_section,D,VIS,D_VIS,1.3166666666666667,1.3533333333333333,250201058.87199995,6904088.388999999,279330892.629,243296970.48299995,272426804.24,515723774.72299993,valid
ajaka_cross_section,D,VIS,D_VIS,1.3533333333333333,1.3900000000000001,293641849.703,7403526.291999994,302097102.14,286238323.411,294693575.848,580931899.2590001,valid
ajaka_cross_section,D,VIS,D_VIS,1.3900000000000001,1.4266666666666667,252726944.822,6259362.838999999,255788068.187,246467581.983,249528705.34800002,495996287.33100003,valid
ajaka_cross_section,D,VIS,D_VIS,1.4266666666666667,1.4633333333333334,253436905.70700002,6854606.623999994,240399148.24600002,246582299.08300003,233544541.62200004,480126840.70500004,valid
ajaka_cross_section,D,VIS,D_VIS,1.4633333333333334,1.5,269714819.191,7074900.628000005,271592287.423,262639918.563,264517386.795,527157305.358,valid
ajaka_cross_section,P,UV,P_UV,0.95,0.9866666666666666,78186718927.226,55690241.07000011,77892970183.547,78131028686.15599,77837279942.47699,155968308628.633,valid
ajaka_cross_section,P,UV,P_UV,0.9866666666666666,1.0233333333333332,87969976053.537,61346404.54900002,87227488402.807,87908629648.988,87166141998.25801,175074771647.24603,valid
ajaka_cross_section,P,UV,P_UV,1.0233333333333332,1.06,88762801875.566,57900956.25300002,87956333943.937,88704900919.31299,87898432987.68399,176603333906.99698,valid
ajaka_cross_section,P,UV,P_UV,1.06,1.0966666666666667,88397032836.73901,52594091.744000025,87338412417.461,88344438744.99501,87285818325.717,175630257070.712,valid
ajaka_cross_section,P,UV,P_UV,1.0966666666666667,1.1333333333333333,93428035864.25601,48293649.47900003,91710035246.807,93379742214.77701,91661741597.328,185041483812.105,valid
ajaka_cross_section,P,UV,P_UV,1.1333333333333333,1.17,100814919008.159,49860970.803000085,98614708438.433,100765058037.356,98564847467.63,199329905504.98602,valid
ajaka_cross_section,P,UV,P_UV,1.17,1.2066666666666666,113242211894.814,49487108.35799997,110808440418.703,113192724786.456,110758953310.345,223951678096.801,valid
ajaka_cross_section,P,UV,P_UV,1.2066666666666666,1.2433333333333332,123530523763.102,50099432.67599995,120523011985.67401,123480424330.42601,120472912552.99802,243953336883.424,valid
ajaka_cross_section,P,UV,P_UV,1.2433333333333332,1.28,133630169397.372,50767508.548000045,129870383592.63899,133579401888.82399,129819616084.09099,263399017972.91498,valid
ajaka_cross_section,P,UV,P_UV,1.28,1.3166666666666667,131134863005.08101,42420061.78499994,127324072524.81001,131092442943.296,127281652463.02501,258374095406.321,valid
ajaka_cross_section,P,UV,P_UV,1.3166666666666667,1.3533333333333333,146224202448.91998,42626274.230999984,141812717146.78497,146181576174.689,141770090872.554,287951667047.243,valid
ajaka_cross_section,P,UV,P_UV,1.3533333333333333,1.3900000000000001,158482539137.62402,44006115.245000005,153558811376.511,158438533022.37903,153514805261.266,311953338283.645,valid
ajaka_cross_section,P,UV,P_UV,1.3900000000000001,1.4266666666666667,173987742404.04602,41505703.95100003,167981329822.07098,173946236700.09503,167939824118.12,341886060818.215,valid
ajaka_cross_section,P,UV,P_UV,1.4266666666666667,1.4633333333333334,163913909138.274,43202700.98299998,157849638951.495,163870706437.291,157806436250.512,321677142687.803,valid
ajaka_cross_section,P,UV,P_UV,1.4633333333333334,1.5,89763064394.906,37650210.557,86311808474.941,89725414184.349,86274158264.38399,175999572448.73297,valid
ajaka_cross_section,P,VIS,P_VIS,0.95,0.9866666666666666,84110638857.0,15213359.88,85039215071.0,84095425497.12,85024001711.12,169119427208.24,valid
ajaka_cross_section,P,VIS,P_VIS,0.9866666666666666,1.0233333333333332,88817661554.0,13518515.477999995,89514206196.0,88804143038.522,89500687680.522,178304830719.044,valid
ajaka_cross_section,P,VIS,P_VIS,1.0233333333333332,1.06,97087675111.0,13408580.069,98262739182.0,97074266530.931,98249330601.931,195323597132.862,valid
ajaka_cross_section,P,VIS,P_VIS,1.06,1.0966666666666667,106641847372.0,13605321.698999997,107811606251.0,106628242050.301,107798000929.301,214426242979.602,valid
ajaka_cross_section,P,VIS,P_VIS,1.0966666666666667,1.1333333333333333,18318619227.414,12659995.366999991,18190061523.281,18305959232.047,18177401527.913998,36483360759.961,valid
ajaka_cross_section,P,VIS,P_VIS,1.1333333333333333,1.17,1193290399.438,12501541.093999999,1207366525.329,1180788858.3439999,1194864984.235,2375653842.5789995,valid
ajaka_cross_section,P,VIS,P_VIS,1.17,1.2066666666666666,706349119.9560001,11989175.081999995,706588311.835,694359944.8740001,694599136.753,1388959081.627,valid
ajaka_cross_section,P,VIS,P_VIS,1.2066666666666666,1.2433333333333332,501800602.603,11024585.632000001,494712454.723,490776016.97099996,483687869.09099996,974463886.0619999,valid
ajaka_cross_section,P,VIS,P_VIS,1.2433333333333332,1.28,537250545.5619999,10192437.226999996,540901521.009,527058108.3349999,530709083.78199995,1057767192.1169999,valid
ajaka_cross_section,P,VIS,P_VIS,1.28,1.3166666666666667,543281799.7590001,10708074.253000002,552029979.776,532573725.50600004,541321905.523,1073895631.029,valid
ajaka_cross_section,P,VIS,P_VIS,1.3166666666666667,1.3533333333333333,424281760.35899997,10261600.754999999,437721589.02199996,414020159.604,427459988.26699996,841480147.8709999,valid
ajaka_cross_section,P,VIS,P_VIS,1.3533333333333333,1.3900000000000001,413602192.37799996,9988951.154999997,407282366.553,403613241.223,397293415.398,800906656.621,valid
ajaka_cross_section,P,VIS,P_VIS,1.3900000000000001,1.4266666666666667,452359754.877,9030243.855,443853425.139,443329511.02199996,434823181.284,878152692.306,valid
ajaka_cross_section,P,VIS,P_VIS,1.4266666666666667,1.4633333333333334,350431454.633,8324974.190000002,342485455.6399999,342106480.443,334160481.4499999,676266961.8929999,valid
ajaka_cross_section,P,VIS,P_VIS,1.4633333333333334,1.5,425753018.61899996,9991368.859000003,417523785.33699995,415761649.75999993,407532416.4779999,823294066.2379999,valid
ajaka_sigma,D,UV,D_UV,1.1,1.2,151183471264.625,46459060.53600002,153305913725.664,151137012204.089,153259454665.128,304396466869.217,valid
ajaka_sigma,D,UV,D_UV,1.2,1.3,190215645525.20398,44537154.262,192318224677.425,190171108370.942,192273687523.163,382444795894.105,valid
