run_number,source_period,target,beam_type,group,classification_source,source_file,quality_status,reason_codes,nonzero_unmapped_strip_count,negative_net_bin_count,brem_reference_sum,brem_period_median,brem_ratio
1321,1998_uv,P,UV,P_UV,manual,1998_uv/run1321.root,good,,0,0,389382.557,256270.619,1.5194194266959646
1322,1998_uv,P,UV,P_UV,manual,1998_uv/run1322.root,bad,brem_period_outlier;negative_net_flux,0,19,1501221853.0,256270.619,5857.955386606374
1324,1998_uv,P,UV,P_UV,manual,1998_uv/run1324.root,good,,0,0,315120.29600000003,256270.619,1.2296387983516754
1325,1998_uv,P,UV,P_UV,manual,1998_uv/run1325.root,good,,0,0,394272.558,256270.619,1.5385008220548295
1326,1998_uv,P,UV,P_UV,manual,1998_uv/run1326.root,good,,0,0,120668.517,256270.619,0.470863642000256
1328,1998_uv,P,UV,P_UV,manual,1998_uv/run1328.root,good,,0,0,360199.743,256270.619,1.405544437382422
1329,1998_uv,P,UV,P_UV,manual,1998_uv/run1329.root,good,,0,0,351897.493,256270.619,1.3731480197501689
1330,1998_uv,P,UV,P_UV,manual,1998_uv/run1330.root,good,,0,0,241816.286,256270.619,0.9435973852312738
1331,1998_uv,P,UV,P_UV,manual,1998_uv/run1331.root,good,,0,0,220199.582,256270.619,0.8592463032213614
1332,1998_uv,P,UV,P_UV,manual,1998_uv/run1332.root,good,,0,0,223452.311,256270.619,0.8719388585080055
1333,1998_uv,P,UV,P_UV,manual,1998_uv/run1333.root,good,,0,0,237693.247,256270.619,0.9275087714990847
1334,1998_uv,P,UV,P_UV,manual,1998_uv/run1334.root,good,,0,0,228975.532,256270.619,0.8934911574861416
1335,1998_uv,P,UV,P_UV,manual,1998_uv/run1335.root,good,,0,0,115203.749,256270.619,0.4495394339372162
1336,1998_uv,P,UV,P_UV,manual,1998_uv/run1336.root,good,,0,0,436789.133,256270.619,1.7044058140742226
1337,1998_uv,P,UV,P_UV,manual,1998_uv/run1337.root,good,,0,0,391114.271,256270.619,1.5261767912614281
1339,1998_uv,P,UV,P_UV,manual,1998_uv/run1339.root,good,,0,0,1136937.368,256270.619,4.436471775174508
1340,1998_uv,P,UV,P_UV,manual,1998_uv/run1340.root,good,,0,0,718391.203,256270.619,2.8032523033785623
1341,1998_uv,P,UV,P_UV,manual,1998_uv/run1341.root,good,,0,0,441642.159,256270.619,1.7233429283596493
1342,1998_uv,P,UV,P_UV,manual,1998_uv/run1342.root,good,,0,0,573596.406,256270.619,2.238244900013294
1343,1998_uv,P,UV,P_UV,manual,1998_uv/run1343.root,good,,0,0,437505.71400000004,256270.619,1.7072020027391437
1344,1998_uv,P,UV,P_UV,manual,1998_uv/run1344.root,good,,0,0,261001.504,256270.619,1.0184605048306377
1345,1998_uv,P,UV,P_UV,manual,1998_uv/run1345.root,good,,0,0,236463.748,256270.619,0.9227111126617288
1346,1998_uv,P,UV,P_UV,manual,1998_uv/run1346.root,good,,0,0,429449.33,256270.619,1.6757649849825351
1347,1998_uv,P,UV,P_UV,manual,1998_uv/run1347.root,good,,0,0,379966.217,256270.619,1.4826756905753602
1348,1998_uv,P,UV,P_UV,manual,1998_uv/run1348.root,good,,0,0,360477.881,256270.619,1.406629766637431
1350,1998_uv,P,UV,P_UV,manual,1998_uv/run1350.root,good,,0,0,296572.192,256270.619,1.1572617772464973
1352,1998_uv,P,UV,P_UV,manual,1998_uv/run1352.root,good,,0,0,475386.6,256270.619,1.8550179566234237
